City;Venue;Venue ID;Venue Latitude;Venue Longitude;Venue Category;Accessible
Adamantina;Verdurão;4ef606028b81ef98cf8bf3d5;-21.685.683.089.164.600;-51.079.293.519.702.400;Gastropub;No
Adamantina;Aroma Café & Cia;4b95623bf964a520b99f34e3;-21.685.990.478.993.000;-5.107.392.891.597.060;Café;No
Adamantina;Restaurante e Pizzaria Cartola;4b817ebef964a5202caa30e3;-2.168.815.563.913.680;-5.107.486.597.376.990;Restaurant;No
Adamantina;Via Sabor Panificadora;4de7ed7b45dda9e8a3385432;-21.682.576.215.168.600;-5.107.910.502.981.300;Bakery;No
Adamantina;Chiquinho Sorvetes Adamantina;5291672511d2ec25cc40d5e3;-2.168.758.056.818.610;-5.107.446.762.934.610;Ice Cream Shop;No
Adamantina;Bar do Sashimi;4ba40a38f964a520a97a38e3;-2.168.865.465.877.860;-51.079.062.517.114.000;Bar;No
Adamantina;Sorveteria Cherry;4b9cc3a2f964a520707a36e3;-2.168.806.234.009.420;-5.107.347.031.069.260;Ice Cream Shop;No
Adamantina;La Olimareña;5494af82498e89679c1197cb;-21.691.706.782.377.400;-510.746.194.351.853;Ice Cream Shop;No
Adamantina;Sorveteria Água Na Boca;4efa1705b63446a50b0c1bab;-2.168.393.533.436.140;-5.107.480.465.974.630;Ice Cream Shop;No
Adamantina;Cartola Cachaçaria Chopp Grill;4dd711deae60680f14fe71e3;-2.168.694.354.571.360;-51.070.068.187.277.200;Nightlife Spot;No
Adamantina;Padaria Art Pão;4bdd57b1b0f5c928782f4ce3;-21.686.728.131.984.600;-5.107.259.696.551.020;Bakery;No
Adamantina;Sorveteria Cristal;4fa573ece4b00f71952a1126;-2.168.753.869.796.030;-510.743.905.614.324;Ice Cream Shop;No
Adamantina;Cheiro Verde Restaurante;4e04acab45ddb4645579df52;-21.685.768.701.472.700;-51.073.874.258.167.900;Restaurant;No
Adamantina;Supermercado Real;4b9feaf4f964a520554a37e3;-2.168.933.799.384.080;-5.107.424.789.757.470;Restaurant;No
Adamantina;Academia Arena;4b9e7c47f964a5201ae836e3;-21.691.486.693.009.700;-5.107.873.547.812.540;Gym;No
Adamantina;Cacau Show;507821745d2435082cf7c77e;-2.168.743.195.917.860;-5.107.314.083.436.960;Chocolate Shop;No
Adamantina;Shopping do Sorvete;505e1ca4e4b00e379a7b6030;-21.691.102.317.508.800;-51.080.156.842.418.700;Ice Cream Shop;No
Adamantina;Cheiro Grill;4b991193f964a5203f5f35e3;-216.875.488.617.787;-5.107.259.863.264.120;Brazilian Restaurant;No
Adamantina;All Time Conveniência;4b9561def964a520a79f34e3;-2.168.812.773.841.430;-51.073.648.672.719.800;Convenience Store;No
Adamantina;Big Sfiha!;4e4efc7b6284416669888b8f;-21.679.479.998.152.200;-51.076.971.964.189.000;Middle Eastern Restaurant;No
Adamantina;O Boticário;50363bc6e4b0e092ef889328;-2.168.760.628.045.260;-5.107.450.216.560.310;Cosmetics Shop;No
Adamantina;Supermercados Sete;57e16748498ea809de12ab94;-21.679.942.737.332.200;-51.077.321.187.776.500;Market;No
Adamantina;Nikkey Dog;4d2a3627342d6dcb32880acb;-21.691.130.645.276.900;-5.107.982.025.036.320;Hot Dog Joint;No
Adamantina;Droga Raia;4fa2aff0e4b01ab96af11419;-216.862.783.913.122;-5.107.371.871.297.120;Pharmacy;No
Adamantina;Sensei Sushi Bar (novo);53bdd488498e218e4f9a2335;-2.168.543.752.549.250;-51.076.813.888.571.000;Japanese Restaurant;Yes
Adamantina;Sendai Grill;56bd0887498e8a650bfc0d08;-21.689.942.492.665.800;-5.107.204.421.705.170;Japanese Restaurant;No
Adamantina;Espaço Vip;4f48156ce4b0bde50894aa0a;-21.692.173.881.669.000;-5.108.231.693.022.560;Gym / Fitness Center;No
Adamantina;Mil-MilkShakes;4b9b7c6ef964a520560a36e3;-2.168.586.860.542.200;-5.107.392.713.354.090;Ice Cream Shop;No
Adamantina;Pizzaria Trianda;4bf869afabdaef3bf1afa184;-2.169.213.170.166.230;-5.108.001.029.008.980;Pizza Place;No
Adamantina;Bilisk & Petisk;4e9cc71f6da163facd24d0f4;-216.942.971.266.341;-5.107.175.600.541.380;Snack Place;No
Adamantina;Supermercado Godoy;4e594450814db47c302ea4e4;-2.169.050.206.841.490;-5.107.357.491.831.540;Supermarket;No
Adamantina;Supermercado Mituo;4f735c3be4b007434548a260;-2.168.384.148.293.870;-5.106.853.899.017.670;Grocery Store;No
Adamantina;Feira Livre;4b97ea2ff964a520031f35e3;-21.685.702.129.842.800;-51.070.525.068.923.000;Farmers Market;No
Adamantina;Pizzaria Mezzanotte;4f9497a7e4b0cd2d54797708;-21.690.713.924.628.700;-5.108.144.081.397.250;Pizza Place;No
Adamantina;Parque dos Pioneiros;503caf87e4b0e1fcde2b4c3c;-2.168.972.740.033.880;-5.108.525.106.625.530;Park;No
Adamantina;Lanche do Cabelo;4da8e2bdcda1652a2b66bc34;-21.682.684.273.274.600;-51.071.984.411.090.400;Bakery;No
Adamantina;Villaverde Hotel;4d00f6057c563704dc5cb3f0;-21.686.779.534.884.500;-5.107.336.421.569.870;Hotel;No
Adamantina;Pernambucanas;51e8417cccda2d24edf9dfbd;-21.686.900.808.981.500;-5.107.350.826.263.420;Department Store;No
Adamantina;Conveniência do Zeca;4ffa09dce4b002d4d4a2d153;-21.684.342.061.904.800;-510.745.144.727.865;Brewery;No
Adamantina;Gêmeos Pub;580ac9a138fa4d664e53712f;-21.691.310.671.161.600;-5.107.815.305.025.890;Music Venue;No
Adamantina;Subway;5828efac70fc421bebe0ad80;-21.689.557.999.999.900;-51.071.942;Sandwich Place;No
Adamantina;Chopp Germania;52b0935d498e3203e9c6ef1d;-21.680.613;-51.076.737;Convenience Store;No
Adamantina;Caminhada no Parque dos Pioneiros;4b9f61c9f964a520651f37e3;-2.169.215.262.983.640;-5.108.087.582.253.080;Park;No
Adamantina;Toca do Espeto;52e2f357498e9ee6f6151131;-21.692.398.164.374.600;-51.081.339.849.423.900;Snack Place;No
