City;Population;Area KM2;Farming;Industry;Public administration;Public services;Taxes;GDP;GDP per capita;HDI-M;HDI-R;HDI-L;HDI-E;FMDI;Latitude;Longitude
Adamantina;33888;411.99;45201.02;138803.34;168908.81;621261.4;80366.51;1054541.08;31121.18;0.79;0.77;0.85;0.75;0.78;-216.866.517;-510.762.975
Adolfo;3469;211.06;33549.77;8059.45;21422.16;33338.63;3364.63;99734.63;28667.61;0.73;0.71;0.84;0.65;0.78;-212.356.597;-496.441.918
Aguaí;34919;474.55;87873.19;297084.21;121789.13;336929.46;99032.53;942708.52;27263.25;0.72;0.7;0.86;0.61;0.72;-220.592.036;-46.979.384
Agudos;35828;966.71;80476.44;800703.35;174721.09;672594.73;334526.09;2063021.7;57826.6;0.74;0.7;0.84;0.69;0.77;-22.471.162;-48.987.822
Alambari;5600;159.6;35578.26;7684.43;24265.69;28925.07;4113.25;100566.7;18245.05;0.71;0.68;0.8;0.66;0.7;-23.550.338;-47.897.971
Alfredo Marcondes;3923;118.92;5147.29;16134.31;19518.7;28834.32;13365.29;82999.9;21173.45;0.74;0.68;0.84;0.71;0.76;-219.527;-51.413.956
Altair;3994;313.01;137866.81;9244.01;20293.65;37987.09;4689.41;210080.96;52877.16;0.69;0.7;0.8;0.58;0.75;-205.238.955;-490.606.135
Altinópolis;15557;928.96;195155.5;22009.42;64684.57;221688.64;23401.18;526939.31;33869.35;0.73;0.73;0.84;0.64;0.8;-21.021.364;-473.712
Alto Alegre;4037;318.57;36909.22;12081.21;22009.11;32604.84;6853.25;110457.64;27293.71;0.7;0.68;0.82;0.62;0.75;-2.161.170.705;-501.500.753.416.667
Alumínio;17747;83.66;1269.67;902768.74;92240.8;376606.08;480691.9;1853577.18;105101.9;0.77;0.73;0.84;0.73;0.73;-235.203.479;-472.575.256
Alvinlândia;3142;84.88;25525.02;4484.16;15774.1;17155.13;875.95;63814.36;20414.06;0.72;0.72;0.79;0.66;0.74;-224.431.852;-497.643.596
Americana;229283;133.91;9880.24;2133299.94;960987.9;5732972.98;1545731.84;10382872.9;45694.64;0.81;0.8;0.88;0.76;0.86;-227.392.463;-473.306.032
Amparo;68945;445.32;82866.64;1855851.6;288371.71;1473018.99;658881.83;4358990.77;63540.29;0.78;0.78;0.87;0.71;0.87;-2.270.111;-4.676.444
Américo Brasiliense;39121;122.78;30758.89;286949.69;143002.24;398981.44;88567.8;948260.06;24584.16;0.75;0.71;0.85;0.7;0.82;-217.297.099;-481.052.092
Américo de Campos;5734;252.88;33236.6;4367.24;26572.44;37694.95;2825.74;104696.97;18262.16;0.74;0.72;0.82;0.71;0.75;-20.298.476;-49.735.904
Analândia;4746;325.95;37155.14;44876.15;26431.84;45968.27;4873.63;159305.03;33938.01;0.75;0.74;0.86;0.67;0.74;-22.128.917;-47.661.939
Andradina;55943;964.23;106593.47;504535.01;226411.46;974348.75;160106.12;1971994.81;35286.03;0.78;0.76;0.88;0.7;0.8;-20.894.761;-51.378.568
Angatuba;24038;1027.29;128125.98;311106.02;98511.63;357916.13;67701.56;963361.32;40458.67;0.72;0.69;0.83;0.65;0.78;-234.938.938;-484.110.675
Anhembi;6467;736.56;63606.49;19141.2;30446.1;36419.45;4836.3;154449.54;24257.82;0.72;0.68;0.86;0.64;0.77;-227.891.096;-481.316.776
Anhumas;3919;320.84;32818.55;6330.66;19637.44;22387.4;2268.6;83442.65;21406.53;0.74;0.68;0.84;0.71;0.74;-222.956.478;-513.873.401
Aparecida;35570;121.08;1600.98;43347.83;143451.99;808670.46;51594.55;1048665.81;29539.05;0.76;0.74;0.83;0.71;0.79;-22.851.552;-452.340.924
Aparecida d'Oeste;4192;179.0;25620.81;36878.7;19739.59;36052.68;7172.64;125464.42;29716.82;0.72;0.7;0.8;0.67;0.7;-204.498.109;-508.808.706
Apiaí;24681;974.32;138271.48;169646.32;91731.05;211060.34;41024.22;651733.4;26398.79;0.71;0.66;0.84;0.65;0.74;-245.076.527;-488.461.582
Aramina;5433;202.83;36585.09;4955.28;24621.4;53573.59;8629.26;128364.63;23762.43;0.74;0.72;0.86;0.66;0.71;-20.088.088;-477.899.145
Arandu;6154;285.91;44439.19;7095.47;29579.48;34453.95;3630.02;119198.12;19384.96;0.68;0.68;0.81;0.59;0.74;-231.345.103;-490.545.651
Arapeí;2471;156.9;1581.36;1637.87;13911.77;10854.83;1104.57;29090.4;11767.96;0.68;0.63;0.81;0.61;0.66;-226.738.889;-444.477.778
Araraquara;224389;1003.62;200057.23;1507590.56;969742.61;5311977.05;1019740.8;9009108.25;40437.49;0.82;0.79;0.88;0.78;0.88;-217.886.713;-481.773.096
Araras;128676;644.83;122418.68;1497398.96;528971.91;2550544.26;584687.25;5284021.06;41442.98;0.78;0.76;0.86;0.73;0.86;-223.569.477;-473.838.889
Araçariguama;20223;145.2;1185.79;766996.66;107357.67;1481381.03;487302.68;2844223.83;143249.75;0.7;0.72;0.81;0.6;0.74;-23.438.611;-47.061.389
Araçatuba;188884;1167.13;96174.19;1209743.36;660648.21;4405628.59;598338.52;6970532.86;37058.18;0.79;0.78;0.84;0.74;0.83;-21.207.992;-504.390.225
Araçoiaba da Serra;31373;255.33;21992.1;147009.81;121087.74;311046.44;66897.87;668033.96;21636.03;0.78;0.75;0.86;0.72;0.75;-235.045.367;-476.168.158
Arco-Íris;1832;264.9;19210.62;5870.21;12108.52;9148.41;1416.18;47753.94;25939.13;0.72;0.67;0.81;0.69;0.72;-217.741.308;-504.668.814
