Município;IDH-M;IDH-R;IDH-L;IDH-E
São Caetano do Sul;0,862;0,891;0,887;0,811
Águas de São Pedro;0,854;0,849;0,89;0,825
Santos;0,84;0,861;0,852;0,807
Jundiaí;0,822;0,834;0,866;0,768
Valinhos;0,819;0,848;0,85;0,763
Vinhedo;0,817;0,84;0,878;0,739
Araraquara;0,815;0,788;0,877;0,782
Santo André;0,815;0,819;0,861;0,769
Santana de Parnaíba;0,814;0,876;0,849;0,725
Ilha Solteira;0,812;0,786;0,871;0,782
Americana;0,811;0,8;0,876;0,76
São José dos Campos;0,807;0,804;0,855;0,764
Presidente Prudente;0,806;0,788;0,858;0,774
São Bernardo do Campo;0,805;0,807;0,861;0,752
São Paulo;0,805;0,843;0,855;0,725
Assis;0,805;0,771;0,865;0,781
Campinas;0,805;0,829;0,86;0,731
São Carlos;0,805;0,788;0,863;0,766
Rio Claro;0,803;0,784;0,862;0,766
Bauru;0,801;0,8;0,854;0,752
Pirassununga;0,801;0,789;0,884;0,736
Taubaté;0,8;0,778;0,883;0,746
Ribeirão Preto;0,8;0,82;0,844;0,739
Botucatu;0,8;0,79;0,869;0,746
Marília;0,798;0,768;0,854;0,776
Sorocaba;0,798;0,792;0,843;0,762
Guaratinguetá;0,798;0,764;0,886;0,751
Fernandópolis;0,797;0,767;0,872;0,758
São João da Boa Vista;0,797;0,776;0,871;0,749
São José do Rio Preto;0,797;0,801;0,846;0,748
Paulínia;0,795;0,8;0,864;0,727
Holambra;0,793;0,815;0,878;0,698
Nova Odessa;0,791;0,755;0,861;0,762
Saltinho;0,791;0,771;0,857;0,75
Votuporanga;0,79;0,772;0,857;0,744
Santa Cruz da Conceição;0,79;0,83;0,876;0,679
Adamantina;0,79;0,772;0,852;0,75
Barretos;0,789;0,762;0,875;0,738
Cândido Rodrigues;0,789;0,747;0,863;0,762
Barra Bonita;0,788;0,762;0,869;0,739
Cruzeiro;0,788;0,742;0,871;0,758
Caçapava;0,788;0,754;0,858;0,755
Mairiporã;0,788;0,767;0,881;0,723
Indaiatuba;0,788;0,791;0,837;0,738
Araçatuba;0,788;0,782;0,841;0,744
Espírito Santo do Pinhal;0,787;0,784;0,872;0,712
Pompéia;0,786;0,75;0,864;0,748
Lins;0,786;0,762;0,869;0,733
Barueri;0,786;0,791;0,866;0,708
Piracicaba;0,785;0,797;0,848;0,717
Tremembé;0,785;0,769;0,873;0,72
Amparo;0,785;0,78;0,871;0,711
Catanduva;0,785;0,767;0,853;0,74
Monte Aprazível;0,785;0,781;0,861;0,72
Arujá;0,784;0,761;0,866;0,73
Mogi Mirim;0,784;0,767;0,879;0,715
Santa Fé do Sul;0,784;0,763;0,84;0,751
Ribeirão Pires;0,784;0,749;0,847;0,76
Mogi das Cruzes;0,783;0,762;0,851;0,74
Cerquilho;0,782;0,758;0,854;0,739
Águas da Prata;0,781;0,75;0,886;0,716
Araras;0,781;0,763;0,859;0,728
Caieiras;0,781;0,74;0,861;0,749
Santa Bárbara d'Oeste;0,781;0,752;0,867;0,731
Franca;0,78;0,749;0,842;0,753
Bebedouro;0,78;0,756;0,853;0,735
Cotia;0,78;0,789;0,851;0,707
Birigui;0,78;0,743;0,869;0,734
Boituva;0,78;0,757;0,861;0,728
Orlândia;0,78;0,765;0,882;0,703
Salto;0,78;0,755;0,837;0,751
Andradina;0,779;0,762;0,885;0,702
Piratininga;0,779;0,762;0,859;0,723
Tietê;0,778;0,764;0,884;0,698
Ourinhos;0,778;0,753;0,859;0,727
Itatiba;0,778;0,788;0,844;0,708
Jaboticabal;0,778;0,778;0,851;0,71
Jaú;0,778;0,768;0,886;0,693
Louveira;0,777;0,783;0,861;0,697
José Bonifácio;0,777;0,752;0,869;0,717
Jacareí;0,777;0,749;0,837;0,749
Iracemápolis;0,776;0,742;0,863;0,729
Bragança Paulista;0,776;0,772;0,861;0,704
Osasco;0,776;0,776;0,84;0,718
Dracena;0,776;0,752;0,842;0,737
Araçoiaba da Serra;0,776;0,751;0,86;0,723
Pirapozinho;0,776;0,74;0,863;0,733
Jales;0,776;0,75;0,855;0,73
Santa Rita do Passa Quatro;0,775;0,764;0,887;0,686
Limeira;0,775;0,761;0,852;0,719
São José do Rio Pardo;0,774;0,744;0,868;0,717
Pedrinhas Paulista;0,774;0,749;0,837;0,739
Cruzália;0,774;0,698;0,853;0,778
Mogi Guaçu;0,774;0,74;0,852;0,736
Olímpia;0,773;0,737;0,867;0,736
Pindamonhangaba;0,773;0,745;0,843;0,736
Auriflama;0,773;0,746;0,84;0,738
Matão;0,773;0,766;0,847;0,713
Sebastianópolis do Sul;0,773;0,748;0,835;0,74
Itu;0,773;0,782;0,854;0,692
Santana da Ponte Pensa;0,773;0,751;0,84;0,733
Monções;0,772;0,731;0,814;0,773
Sales Oliveira;0,772;0,738;0,845;0,739
Santa Salete;0,772;0,712;0,864;0,748
São Sebastião;0,772;0,747;0,875;0,703
Poá;0,771;0,71;0,856;0,754
Maracaí;0,771;0,711;0,85;0,758
Tupã;0,771;0,764;0,852;0,704
Vargem Grande Paulista;0,77;0,755;0,884;0,683
Santa Rosa de Viterbo;0,77;0,746;0,868;0,704
Macatuba;0,77;0,763;0,859;0,697
Oriente;0,77;0,717;0,837;0,761
Ouroeste;0,77;0,717;0,866;0,736
Campo Limpo Paulista;0,769;0,733;0,84;0,739
Tupi Paulista;0,769;0,762;0,835;0,715
Garça;0,769;0,737;0,849;0,728
Cosmópolis;0,769;0,746;0,876;0,697
Pedreira;0,769;0,75;0,864;0,701
Taboão da Serra;0,769;0,742;0,863;0,71
Monte Alto;0,768;0,746;0,859;0,707
São Vicente;0,768;0,738;0,857;0,716
Regente Feijó;0,768;0,735;0,818;0,752
São Roque;0,768;0,765;0,863;0,687
Igarapava;0,768;0,809;0,835;0,671
Bilac;0,768;0,743;0,845;0,722
Orindiúva;0,767;0,719;0,824;0,762
Serra Negra;0,767;0,764;0,873;0,676
Votorantim;0,767;0,72;0,838;0,747
Avaré;0,767;0,751;0,866;0,695
Mauá;0,766;0,721;0,852;0,733
Lorena;0,766;0,736;0,856;0,713
Alumínio;0,766;0,729;0,841;0,732
Poloni;0,766;0,736;0,853;0,717
Cedral;0,766;0,749;0,872;0,689
São Simão;0,766;0,732;0,852;0,722
Pereira Barreto;0,766;0,728;0,845;0,732
Nova Europa;0,765;0,718;0,869;0,718
Suzano;0,765;0,708;0,873;0,723
Atibaia;0,765;0,786;0,851;0,67
Ituverava;0,765;0,768;0,841;0,694
Cachoeira Paulista;0,764;0,733;0,837;0,728
Rosana;0,764;0,749;0,818;0,728
Lençóis Paulista;0,764;0,743;0,837;0,717
Itapetininga;0,763;0,728;0,864;0,705
Guarulhos;0,763;0,746;0,831;0,717
Buritama;0,763;0,736;0,839;0,72
Gabriel Monteiro;0,763;0,721;0,809;0,762
Presidente Venceslau;0,763;0,749;0,837;0,708
Guararapes;0,763;0,727;0,84;0,726
Itapira;0,762;0,75;0,852;0,692
Itupeva;0,762;0,75;0,844;0,699
Osvaldo Cruz;0,762;0,74;0,837;0,713
Mococa;0,762;0,756;0,827;0,709
Mirassol;0,762;0,748;0,846;0,698
Santa Cruz do Rio Pardo;0,762;0,744;0,867;0,686
Paraguaçu Paulista;0,762;0,717;0,836;0,739
Sumaré;0,762;0,744;0,845;0,705
São Joaquim da Barra;0,762;0,74;0,847;0,706
Sertãozinho;0,761;0,768;0,855;0,672
Batatais;0,761;0,766;0,84;0,685
Indiana;0,761;0,714;0,843;0,733
Santa Rita d'Oeste;0,761;0,711;0,839;0,74
Itirapuã;0,76;0,735;0,832;0,743
Taiúva;0,76;0,732;0,835;0,718
Santa Adélia;0,76;0,75;0,835;0,702
Jandira;0,76;0,738;0,841;0,706
Descalvado;0,76;0,74;0,865;0,687
Estrela d'Oeste;0,76;0,712;0,873;0,705
Várzea Paulista;0,759;0,72;0,863;0,705
Rubinéia;0,759;0,713;0,844;0,726
Caraguatatuba;0,759;0,735;0,845;0,705
Monte Alegre do Sul;0,759;0,752;0,858;0,678
Rio das Pedras;0,759;0,741;0,842;0,7
Inúbia Paulista;0,759;0,688;0,849;0,75
Taquaral;0,759;0,742;0,823;0,716
Penápolis;0,759;0,748;0,859;0,68
Piraju;0,758;0,74;0,843;0,699
Cordeirópolis;0,758;0,754;0,858;0,674
Fernando Prestes;0,758;0,746;0,859;0,68
Álvares Machado;0,758;0,712;0,834;0,732
Porto Feliz;0,758;0,737;0,836;0,706
Diadema;0,757;0,717;0,844;0,716
Águas de Santa Bárbara;0,757;0,744;0,84;0,695
Piquete;0,757;0,711;0,823;0,74
Colina;0,757;0,72;0,845;0,712
Santo Antônio do Aracanguá;0,757;0,71;0,84;0,728
Presidente Bernardes;0,757;0,718;0,839;0,719
Nova Castilho;0,756;0,694;0,823;0,755
Cravinhos;0,756;0,737;0,857;0,683
Hortolândia;0,756;0,716;0,859;0,703
Bálsamo;0,756;0,746;0,835;0,695
Pirangi;0,756;0,735;0,837;0,701
Ilhabela;0,756;0,739;0,843;0,693
Jambeiro;0,756;0,727;0,86;0,69
Aparecida;0,755;0,735;0,828;0,706
São Pedro;0,755;0,741;0,863;0,674
Brodowski;0,755;0,738;0,864;0,675
Pongaí;0,755;0,727;0,844;0,701
Analândia;0,754;0,745;0,861;0,668
Neves Paulista;0,754;0,737;0,823;0,707
Vera Cruz;0,754;0,722;0,83;0,715
Mongaguá;0,754;0,719;0,854;0,699
Registro;0,754;0,718;0,851;0,702
Praia Grande;0,754;0,744;0,834;0,692
Corumbataí;0,754;0,728;0,841;0,7
Boracéia;0,754;0,723;0,866;0,685
Guaíra;0,753;0,759;0,824;0,683
Novo Horizonte;0,753;0,741;0,865;0,665
Monte Azul Paulista;0,753;0,733;0,843;0,69
Santo Anastácio;0,753;0,725;0,854;0,689
Tarumã;0,753;0,738;0,852;0,68
Magda;0,753;0,724;0,823;0,717
Três Fronteiras;0,753;0,71;0,829;0,726
Ipeúna;0,753;0,737;0,845;0,685
Palmeira d'Oeste;0,753;0,72;0,829;0,714
Tatuí;0,752;0,734;0,842;0,688
Marapoama;0,752;0,736;0,852;0,679
Lucélia;0,752;0,728;0,841;0,695
Turiúba;0,751;0,713;0,824;0,721
Tapiratiba;0,751;0,703;0,87;0,692
Indiaporã;0,751;0,714;0,835;0,71
Porto Ferreira;0,751;0,736;0,827;0,696
Mirandópolis;0,751;0,732;0,869;0,665
Catiguá;0,751;0,734;0,852;0,676
Sales;0,751;0,708;0,859;0,697
Ubatuba;0,751;0,741;0,841;0,679
Américo Brasiliense;0,751;0,709;0,852;0,701
Guarujá;0,751;0,729;0,854;0,679
Nhandeara;0,751;0,729;0,835;0,672
Rancharia;0,751;0,72;0,861;0,683
Bastos;0,751;0,696;0,848;0,718
Presidente Epitácio;0,75;0,714;0,845;0,7
Bariri;0,75;0,736;0,867;0,662
Capivari;0,75;0,744;0,848;0,669
São João do Pau d'Alho;0,75;0,714;0,854;0,692
Paraíso;0,749;0,751;0,837;0,668
Artur Nogueira;0,749;0,745;0,827;0,681
União Paulista;0,749;0,697;0,863;0,699
Terra Roxa;0,749;0,732;0,838;0,684
Campos do Jordão;0,749;0,761;0,852;0,648
Carapicuíba;0,749;0,721;0,842;0,693
