Município;Agropecuária;Indústria;Administração Pública;Serviços Públicos;Impostos;PIB;PIB per capta
Adamantina;45201,02467;138803,3355;168908,8097;621261,3956;80366,51443;1054541,08;31121,17692
Adolfo;33549,76852;8059,446375;21422,15942;33338,62674;3364,626749;99734,6278;28667,61362
Aguaí;87873,1925;297084,2142;121789,1294;336929,4595;99032,52835;942708,524;27263,24611
Águas da Prata;11287,87532;17650,74399;32012,99073;80449,24292;12372,35572;153773,2087;19869,9068
Águas de Lindóia;5822,615705;37402,54424;84727,56557;310390,3299;34640,77198;472983,8274;26192,4813
Águas de Santa Bárbara;43381,23611;9102,161052;31961,97974;56537,48378;7281,145138;148264,0058;25418,13918
Águas de São Pedro;0;8838,033364;20471,18243;89496,89366;6339,504513;125145,614;41659,65844
Agudos;80476,4423;800703,35;174721,0886;672594,7295;334526,0885;2063021,699;57826,59768
Alambari;35578,25977;7684,430367;24265,69012;28925,0689;4113,246791;100566,696;18245,04644
Alfredo Marcondes;5147,290928;16134,30588;19518,69663;28834,32463;13365,2867;82999,90477;21173,44509
Altair;137866,8098;9244,010201;20293,64645;37987,08533;4689,40621;210080,958;52877,16034
Altinópolis;195155,4952;22009,41929;64684,57201;221688,6399;23401,1848;526939,3112;33869,34768
Alto Alegre;36909,22203;12081,21058;22009,11383;32604,8356;6853,252934;110457,635;27293,70768
Alumínio;1269,671202;902768,7363;92240,79587;376606,076;480691,9039;1853577,183;105101,9042
Álvares Florence;54505,33619;4343,087526;20015,68018;24645,38159;2401,339566;105910,8251;28624,54731
Álvares Machado;21247,96388;91852,47973;96296,94551;239291,1954;60757,40536;509445,9898;21516,49237
Álvaro de Carvalho;9807,336145;2708,277623;19157,37164;16155,80349;1654,248684;49483,03758;10053,4412
Alvinlândia;25525,02347;4484,1585;15774,09607;17155,13435;875,9508902;63814,36329;20414,06375
Americana;9880,243952;2133299,945;960987,8981;5732972,977;1545731,839;10382872,9;45694,63876
Américo Brasiliense;30758,88866;286949,6914;143002,2413;398981,4433;88567,7978;948260,0626;24584,15593
Américo de Campos;33236,59532;4367,235283;26572,4439;37694,95299;2825,740336;104696,9678;18262,16079
Amparo;82866,64481;1855851,601;288371,7087;1473018,99;658881,8266;4358990,772;63540,28704
Analândia;37155,13671;44876,14974;26431,84419;45968,27189;4873,628939;159305,0315;33938,01267
Andradina;106593,4705;504535,0093;226411,4605;974348,7452;160106,1229;1971994,808;35286,02527
Angatuba;128125,978;311106,0226;98511,62689;357916,1296;67701,55893;963361,316;40458,66683
Anhembi;63606,48846;19141,19533;30446,10386;36419,45423;4836,295561;154449,5374;24257,81961
Anhumas;32818,54779;6330,657351;19637,44213;22387,40367;2268,596527;83442,64747;21406,52834
Aparecida;1600,983922;43347,82605;143451,9929;808670,4558;51594,55038;1048665,809;29539,04986
Aparecida d'Oeste;25620,80777;36878,69524;19739,59221;36052,68437;7172,642416;125464,422;29716,82189
Apiaí;138271,4757;169646,3205;91731,04701;211060,3411;41024,21862;651733,4029;26398,79305
Araçariguama;1185,790391;766996,6588;107357,6676;1481381,03;487302,6805;2844223,828;143249,7521
Araçatuba;96174,18636;1209743,357;660648,2088;4405628,587;598338,5249;6970532,865;37058,18203
Araçoiaba da Serra;21992,10488;147009,8122;121087,7377;311046,4351;66897,86569;668033,9555;21636,02654
Aramina;36585,09427;4955,27669;24621,39933;53573,59364;8629,26275;128364,6267;23762,42626
Arandu;44439,19009;7095,466212;29579,48491;34453,95017;3630,024945;119198,1163;19384,95956
Arapeí;1581,358289;1637,874448;13911,77479;10854,82701;1104,567846;29090,40238;11767,96213
Araraquara;200057,2325;1507590,564;969742,6125;5311977,047;1019740,797;9009108,254;40437,48739
Araras;122418,6846;1497398,955;528971,9072;2550544,261;584687,2512;5284021,06;41442,97738
Arco-Íris;19210,62196;5870,207898;12108,52443;9148,406201;1416,184265;47753,94476;25939,13349
Arealva;63077,69337;12404,8549;33030,81805;92947,42156;11974,11345;213434,9013;26369,5208
Areias;5873,932884;1992,96304;19630,26712;14058,16615;1456,550235;43011,87943;11351,77604
Areiópolis;22810,72687;9759,363818;41952,34046;55166,40356;5095,338983;134784,1737;12534,56465
Ariranha;28757,21279;215860,4671;40565,85486;303063,7044;132491,0759;720738,315;79219,4235
Artur Nogueira;115395,555;150619,6207;185970,2892;517120,824;111963,1441;1081069,433;21470,66459
Arujá;24931,09309;754285,2068;352025,2964;3360069,73;820565,6777;5311877,004;62283,1063
Aspásia;10070,68838;1715,692083;11537,82166;9010,865094;846,2111236;33181,27835;18672,63835
Assis;65695,12381;485332,8891;395613,0607;2019319,041;337987,7426;3303947,858;33175,165
Atibaia;165003,0619;1320361,203;566782,6664;3120684,755;989967,6303;6162799,316;45356,38871
Auriflama;28172,45013;32022,93654;59503,11333;158340,2647;16032,51181;294071,2765;20410,27738
Avaí;162331,5295;10628,43154;25660,44968;59450,7094;5830,486621;263901,6068;50838,29836
Avanhandava;44779,25161;184441,7992;49974,81954;118360,8896;30514,87991;428071,6399;36072,43953
Avaré;119649,9429;454730,1241;352381,3191;1467195,82;227082,8562;2621040,062;30393,09889
Bady Bassitt;16171,35599;37203,37359;69007,95206;171952,251;24367,63837;318702,571;20053,01523
Balbinos;15266,0418;5493,009228;21284,63574;10866,82633;1483,142052;54393,65515;14708,93866
Bálsamo;36587,72805;11222,8643;33939,87663;106287,3294;15270,30629;203308,1047;24120,07411
Bananal;8610,758273;33925,58046;45841,8808;96980,4497;16845,2236;202203,8928;19231,87111
Barão de Antonina;7525,557047;3247,421672;17076,53239;45549,06531;6253,742828;79652,31924;24129,75439
Barbosa;16892,66422;9299,238295;27650,64316;32404,6927;3185,484577;89432,72295;12646,02983
Bariri;72377,52969;276802,6376;137966,4625;540166,8329;119025,1302;1146338,593;34409,08278
Barra Bonita;21503,97497;367581,2732;141093,1868;707704,0585;149912,9451;1387795,439;39650,16538
Barra do Chapéu;36793,80871;3543,18513;21569,61025;17792,89847;1858,692785;81558,19535;14995,07177
Barra do Turvo;3855,073506;3869,087891;34893,59444;29427,77892;6237,507371;78283,04213;10206,39402
Barretos;239259,752;931826,7262;513944,3015;2389509,308;369041,3085;4443581,396;38162,31157
Barrinha;30739,29124;83934,30397;117988,9196;210610,1147;25703,45113;468976,0807;15031,76643
Barueri;336,1753882;4103571,242;1728842,177;28060581,46;13660257,8;47553588,86;184656,2037
Bastos;580210,273;75193,38038;81040,72574;269743,1525;41932,28708;1048119,819;51692,6326
Batatais;170048,6344;157922,4893;233565,305;808101,1951;109801,4947;1479439,119;25004,46395
Bauru;42933,0923;2492140,708;1390164,787;8598393,649;1248120,627;13771752,86;38402,18411
Bebedouro;120479,553;489836,3593;309045,3422;1947023,786;394116,3761;3260501,417;43775,10864
Bento de Abreu;37580,31283;64608,69211;17680,86622;38094,32174;11807,27238;169771,4653;59236,38007
Bernardino de Campos;26365,10443;47375,30639;42580,38396;101819,1426;18528,45019;236668,3876;21960,50734
Bertioga;5979,119405;158706,3773;351905,8403;995471,7947;94489,80023;1606552,932;27417,91846
Bilac;56254,01433;9558,310617;30833,43352;79902,73812;8354,320082;184902,8167;24310,12578
Birigui;67652,34684;557229,3704;462336,4828;1749459,983;309960,2353;3146638,418;26713,28872
Biritiba-Mirim;293617,5357;36810,72086;113533,3264;235321,3983;25324,1083;704607,0895;22587,1803
Boa Esperança do Sul;135844,4197;31959,827;61853,03;119088,3139;16661,87826;365407,4689;25547,61021
Bocaina;39912,55103;26154,52598;51109,58956;95684,06496;12350,66281;225211,3944;19139,23637
Bofete;31035,85899;23777,85786;45458,3093;56339,10449;7860,070155;164471,2008;15441,8553
Boituva;23615,97722;907282,2526;248443,8179;1114209,571;403314,4112;2696866,03;49197,62173
Bom Jesus dos Perdões;8349,992544;324615,2151;95275,40603;321322,3731;114360,2243;863923,2111;37617,4872
Bom Sucesso de Itararé;3962,241719;12821,90578;18412,45612;15382,39059;2392,410154;52971,40435;14065,6942
Borá;14626,80436;29287,61495;7998,199274;17212,57035;5039,617934;74164,80686;91561,48995
Boracéia;21310,16432;91817,23256;23249,38915;108271,0862;34561,44894;279209,3212;60500,39462
Borborema;122078,9249;27766,58233;64943,07553;173911,6705;20414,03311;409114,2864;27068,56467
Borebi;19187,64607;3877,177374;15882,12889;20057,16756;3475,136121;62479,25602;25021,72848
Botucatu;194540,7167;970290,5933;457842,4116;2290444,089;377551,4468;4290669,257;31242,58565
Bragança Paulista;50981,22558;1413094,042;601623,6751;2935876,676;670866,9968;5672442,615;35610,34211
Braúna;23530,97282;8354,452695;24170,05522;34976,44178;3498,694994;94530,61751;17499,18873
Brejo Alegre;10358,60577;103216,7269;18050,32263;45541,17707;16258,35986;193425,1922;71295,68455
Brodowski;62259,92318;142158,1504;97366,05145;281634,8062;55952,60242;639371,5337;27586,46649
Brotas;96908,88437;200355,6934;100365,8134;339931,3788;66453,83623;804015,6062;34637,92892
Buri;97996,46112;37316,96514;81159,72056;132763,001;19270,01496;368506,1628;19089,62717
Buritama;50861,12396;247056,9905;70059,65924;206079,3692;30043,73017;604100,873;37134,30495
Buritizal;42539,45683;66310,06292;25234,27995;36526,98314;7436,844155;178047,627;42032,01771
Cabrália Paulista;17475,27959;15584,39334;21319,13235;25191,88535;4904,311123;84475,00175;19567,98743
Cabreúva;28712,25352;1087489,994;211099,3087;1989300,52;977721,643;4294323,72;91236,58791
Caçapava;17708,79476;1558692,216;342568,4648;1489234,6;666919,1697;4075123,246;45540,7535
Cachoeira Paulista;13005,58784;69027,08933;122261,5004;357149,5269;29937,67654;591381,3811;18700,98919
Caconde;84812,98419;41396,37663;69380,16899;137249,2981;10754,85071;343593,6786;18323,04173
Cafelândia;97479,34921;81826,84355;75128,7316;184398,6041;29508,61807;468342,1466;27452,64634
Caiabu;18381,32446;3825,12354;18810,24391;18197,31221;1382,816287;60596,82041;14786,92543
Caieiras;1876,426909;1106490,067;366926,5892;1369992,822;444319,5717;3289605,476;34135,86955
Caiuá;24939,97192;2870,066315;27556,25121;18455,82376;3820,734181;77642,84738;14285,71249
